FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,WORK_LIFE_BALANCE_SCORE
5,2,8,6,10,10,6,4,2,4,4,3,3,7,1,2,2,10,6,8,3,709.4
2,2,6,10,10,10,10,5,1,10,6,7,4,7,0,1,2,10,5,7,3,752.7
2,4,6,10,5,5,6,4,2,6,1,7,10,6,0,3,2,1,3,10,3,677.7
1,5,1,3,6,5,3,5,1,2,2,8,1,7,0,6,2,5,1,1,2,633.9
1,4,1,2,5,3,1,5,1,1,5,8,1,7,0,4,2,2,1,1,2,628.8
2,4,10,3,10,7,8,3,1,6,0,5,5,7,0,1,2,10,2,2,2,692.8
3,4,6,4,7,10,3,3,1,4,1,10,5,6,0,3,1,7,2,8,3,673.2
4,2,10,3,1,2,3,3,1,7,2,4,1,7,0,3,2,10,1,7,1,673.9
5,3,10,3,7,5,3,2,1,7,2,10,10,7,0,0,1,10,5,10,2,712.5
3,1,3,5,2,10,4,2,1,5,4,3,10,8,0,1,2,10,4,1,3,692.6
0,5,0,3,3,8,1,5,2,4,4,1,1,6,10,10,2,3,2,1,3,574.5
1,3,10,3,2,3,2,0,1,2,2,5,2,8,0,0,1,4,3,7,4,630.1
4,2,10,6,10,8,10,2,1,10,2,10,5,7,0,3,2,10,4,10,2,746.5
3,3,0,2,0,5,0,5,2,3,1,2,0,6,0,6,1,2,2,10,2,591.7
2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,4,729.4
2,5,1,8,5,2,2,5,2,2,0,10,0,8,7,10,1,2,0,10,3,593.7
4,1,1,10,10,10,5,5,2,8,3,7,3,6,7,2,1,6,4,10,4,682.8
5,3,6,6,10,7,3,5,1,8,5,3,4,9,0,3,2,6,6,10,4,723.4
4,2,10,8,8,4,6,3,1,5,4,3,2,7,10,1,2,5,4,8,2,687.3
4,3,10,8,10,3,2,3,2,0,0,3,0,5,0,2,2,4,0,2,4,635.9
2,3,0,8,10,10,1,2,2,5,0,2,10,9,0,3,1,10,0,10,4,655.2
3,2,4,1,1,10,3,2,1,7,5,7,2,7,4,3,1,3,5,8,2,652.4
2,3,3,10,3,4,0,4,1,7,1,8,1,8,0,3,2,2,2,3,3,657.9
3,5,10,2,9,10,5,5,1,10,1,10,10,5,10,7,2,7,2,2,3,686.6
5,3,10,10,10,6,4,5,1,7,4,10,2,6,5,1,2,8,4,10,4,732.7
4,2,10,10,5,8,5,2,2,6,3,10,2,8,2,2,1,10,3,7,2,685.5
3,2,8,10,10,10,8,5,2,10,3,7,10,7,1,2,2,10,3,10,4,742.5
2,3,3,10,10,10,5,1,2,7,4,2,6,8,0,2,2,4,1,1,3,663.5
4,3,6,3,10,10,5,4,1,4,6,8,3,7,0,4,2,4,5,9,2,710.4
3,5,8,9,5,10,4,2,2,8,4,10,2,8,10,4,2,3,3,5,2,658.3
1,2,4,6,1,10,4,0,2,5,1,5,1,6,0,1,2,8,1,2,3,633.1
5,2,3,6,4,9,3,2,1,5,3,6,3,8,0,3,2,2,3,5,4,677.9
4,2,5,10,10,2,5,3,2,4,2,1,1,6,10,1,2,3,4,4,2,640.8
1,4,1,1,1,7,1,0,1,0,5,3,1,6,10,8,1,2,2,1,1,557.9
4,2,8,6,2,10,1,1,2,6,3,5,10,8,3,3,2,10,1,2,3,669.2
5,4,10,6,5,10,7,4,1,4,4,10,1,7,0,2,2,6,4,5,3,712.5
4,3,10,1,10,2,4,5,1,9,2,10,2,7,0,0,2,10,1,7,4,712.5
0,5,0,2,1,2,0,5,1,0,0,1,0,10,0,2,1,1,0,0,2,571.9
0,5,0,2,1,2,1,5,1,1,0,1,0,10,0,2,1,1,0,0,2,575.3
4,3,1,7,5,8,5,3,1,7,3,8,3,7,10,1,2,3,9,4,2,678.1
5,2,4,5,4,4,2,1,1,4,4,6,3,7,8,3,1,4,8,8,2,648.8
1,1,10,2,1,5,1,0,1,5,4,8,1,6,5,0,2,4,1,7,2,649
2,5,6,4,10,0,10,3,1,5,1,2,1,9,0,4,1,10,1,10,3,656.9
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,2,5,4,8,2,680.7
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,1,5,4,8,2,663.7
2,1,3,3,2,4,1,5,2,5,2,10,1,7,0,1,2,5,3,10,2,661.5
3,1,1,1,1,3,1,1,1,0,0,6,0,7,2,2,2,3,1,1,4,609.7
3,2,6,4,10,10,1,1,2,7,0,1,1,8,0,1,2,6,2,6,2,656.5
4,3,10,10,10,10,3,3,1,9,3,8,3,8,0,0,2,5,6,10,2,739.5
3,5,4,0,2,3,0,5,1,8,2,10,0,4,0,0,2,5,1,10,2,657.5
0,4,0,2,2,3,1,0,2,1,0,4,0,4,0,10,1,1,0,0,3,528.8
4,3,10,8,10,10,4,5,2,10,2,7,5,6,10,1,2,10,1,3,4,694.7
5,1,10,4,2,2,0,1,1,10,1,4,0,8,10,2,2,4,5,10,4,662.2
5,2,3,1,10,10,3,5,1,8,2,5,2,7,1,0,2,5,2,10,2,704.7
5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,3,694
5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,3,694
3,3,8,10,5,7,3,4,1,8,4,10,5,8,0,1,1,10,3,7,2,709.3
0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,2,538.8
1,1,2,2,1,3,4,0,1,2,2,8,10,8,0,1,2,1,1,10,1,654.5
5,1,6,4,10,4,5,1,2,10,1,1,10,8,0,3,2,0,3,10,4,680.3
0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,2,538.8
3,4,8,7,5,7,8,2,2,7,2,3,4,6,6,5,2,10,0,4,2,651.4
5,2,10,5,5,10,5,2,1,9,4,2,10,8,0,0,2,7,5,5,2,724.7
5,2,3,6,10,10,5,2,2,5,2,6,0,6,1,0,2,8,2,5,4,677.5
4,4,8,2,10,10,6,5,2,6,5,7,8,6,10,0,2,10,3,7,4,696.4
2,4,10,6,4,5,3,1,1,8,1,2,2,8,0,1,1,10,6,4,3,658.4
5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,3,749.7
5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,3,749.7
3,4,4,7,4,4,10,5,2,6,1,9,8,6,0,9,2,7,1,10,3,676.4
3,4,1,4,2,5,2,2,2,1,1,9,0,6,7,10,2,2,0,10,2,594.8
5,3,8,1,10,10,8,5,1,9,5,10,10,8,2,0,2,8,5,10,2,758.6
3,4,3,1,4,3,4,0,1,5,0,7,1,6,1,7,2,10,1,10,2,640.3
3,2,2,3,8,10,2,1,1,8,1,8,8,7,2,2,2,2,1,7,3,678.1
2,3,10,4,10,10,3,1,2,8,3,4,3,6,0,1,2,10,1,7,3,678.8
1,5,0,1,1,3,4,1,2,1,0,1,0,10,10,6,2,3,0,1,3,551.5
5,5,2,2,10,8,1,0,1,9,2,10,3,6,3,3,1,4,2,1,2,639.2
1,3,10,6,10,10,8,4,1,9,6,7,5,7,5,1,2,7,5,3,2,718.7
1,3,10,6,7,10,7,3,1,9,4,5,5,7,4,2,2,7,3,3,2,697.9
2,3,6,3,5,5,5,3,1,5,3,4,4,7,0,1,2,5,4,4,4,670.5
4,3,8,10,10,10,2,1,1,4,3,3,10,7,7,6,1,5,2,6,3,666.9
5,4,3,10,4,8,6,2,2,4,0,8,5,6,0,5,1,4,2,3,2,638.8
5,4,10,3,10,8,0,5,2,3,1,5,2,6,0,3,1,4,5,6,2,651.8
3,2,2,3,2,3,4,1,1,8,3,10,1,9,8,2,1,4,2,9,2,639.8
3,2,3,8,8,5,3,5,1,5,1,6,10,7,0,6,2,2,2,7,3,687.9
2,3,6,10,3,4,0,1,2,1,2,2,0,7,9,1,2,1,0,2,2,593.6
3,4,10,8,8,3,1,1,1,6,1,5,0,8,10,7,1,10,1,3,2,626.7
2,2,5,1,0,10,10,1,1,7,3,3,3,6,1,1,1,10,1,7,2,658.2
1,2,0,4,1,1,1,0,1,8,0,1,0,7,0,3,1,5,5,7,4,605.3
3,2,3,6,5,9,6,4,2,5,4,1,5,6,3,2,1,10,2,2,3,645.9
2,2,3,6,3,2,5,3,1,4,3,6,2,8,2,0,2,5,5,6,2,669.4
1,3,2,5,1,2,1,0,1,2,1,10,0,7,0,0,1,0,0,7,2,605.4
3,2,9,7,7,5,3,4,2,9,2,5,10,6,0,3,2,5,2,8,4,690.9
5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,1,709.4
5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,1,709.4
3,5,0,3,2,10,0,0,2,10,1,10,10,6,0,4,1,0,3,10,2,627.3
2,5,0,10,3,2,4,1,1,5,2,4,0,8,0,10,2,10,3,10,4,643.5
2,1,1,0,0,6,2,0,1,5,2,8,2,7,2,3,2,5,4,4,2,637.3
1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,2,665.3
1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,2,665.3
5,2,10,5,6,5,8,3,1,7,3,10,2,9,5,5,2,8,3,10,2,714.6
5,3,0,6,5,10,2,1,1,9,3,9,2,5,2,6,1,3,5,3,2,649
5,2,10,4,4,10,4,3,1,9,2,10,1,7,0,3,2,9,1,10,3,717.6
5,4,10,3,10,10,8,4,1,8,2,10,10,7,0,0,2,10,2,8,3,748.2
3,5,0,7,2,5,1,2,1,3,1,9,0,7,0,8,2,6,0,10,3,637.5
2,3,0,7,2,5,2,3,1,3,2,9,0,4,0,3,1,5,1,7,2,628.4
3,4,3,5,0,5,2,1,1,3,4,3,4,5,0,3,2,2,4,5,1,634.2
5,4,3,7,4,4,3,3,1,2,0,3,0,9,1,5,2,5,3,8,2,653.7
1,3,3,5,6,2,10,0,1,8,2,10,0,8,10,0,1,10,4,10,2,656.6
2,0,0,10,2,5,2,0,1,10,1,1,0,10,0,0,2,1,7,10,3,670.5
1,2,2,1,3,7,1,1,2,2,1,1,0,8,5,0,2,0,0,4,3,588.5
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,3,672.8
5,4,10,3,3,10,4,4,1,7,2,10,3,6,3,2,2,6,3,5,2,695.3
2,3,2,5,6,5,1,1,2,6,1,2,1,6,0,5,1,5,1,1,3,591.7
3,2,10,5,1,10,2,0,2,8,3,5,0,9,0,7,2,3,1,8,2,649
5,3,4,10,6,10,4,5,2,8,4,7,10,7,5,1,2,10,2,5,4,708.5
1,1,4,6,6,4,6,0,1,9,4,3,2,6,0,1,2,10,2,4,1,673.5
0,4,1,1,8,3,1,1,1,1,1,4,3,5,0,8,2,1,0,4,2,595.3
3,4,4,6,10,10,0,3,2,4,1,10,5,7,5,4,2,10,6,5,4,671.7
3,4,3,4,2,3,3,4,1,0,1,10,3,5,2,7,2,0,2,3,1,625.4
5,1,9,6,2,7,5,1,1,7,6,7,4,10,0,1,2,1,3,7,1,705.7
5,2,9,10,8,10,6,3,1,10,5,9,5,9,0,3,2,10,6,5,3,753.5
5,1,7,4,2,10,5,0,1,8,8,8,2,10,0,1,2,1,5,7,1,707.6
5,0,9,4,4,8,1,0,1,9,7,10,2,10,0,0,2,3,5,5,1,713.1
5,2,5,4,7,1,3,5,2,9,1,7,10,6,1,1,2,4,8,4,4,687.9
2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,4,729.4
5,3,10,10,5,5,10,3,2,8,2,5,2,7,10,9,2,5,3,7,4,665.6
1,2,4,3,1,2,0,1,2,2,0,2,3,8,0,2,1,4,0,1,2,576.8
2,5,5,6,2,4,6,0,2,3,1,5,5,6,10,10,2,10,3,3,3,602.5
3,4,10,5,8,4,3,5,1,5,4,7,0,6,10,2,2,5,2,7,3,669.2
2,2,2,6,4,4,5,5,1,6,2,4,4,7,0,3,2,8,4,6,3,680.7
5,5,5,5,10,10,3,4,1,4,5,4,0,9,0,3,2,3,9,5,3,694.7
3,4,2,2,10,3,1,5,2,3,4,1,0,9,7,0,2,3,0,0,3,612.5
4,3,10,6,4,7,1,1,1,7,2,5,1,7,1,3,2,6,2,10,3,679.2
2,3,5,3,0,10,3,1,1,7,6,3,2,8,5,1,2,10,6,10,2,677.3
5,1,3,8,10,10,3,1,1,10,6,6,10,7,0,0,2,4,1,10,3,730.4
3,5,6,3,6,4,3,2,1,10,4,2,1,8,0,2,1,10,4,7,3,658.4
5,3,10,4,10,2,5,5,1,9,1,4,10,6,0,1,2,7,2,6,3,714.5
5,5,5,5,6,10,0,0,1,0,4,6,5,6,10,8,1,10,1,3,1,619.7
4,3,4,7,4,5,2,0,1,8,2,6,5,7,0,3,2,7,3,5,2,672.6
3,3,0,2,3,3,0,3,2,8,0,3,0,8,0,3,2,2,0,1,3,602.5
4,3,1,7,10,4,2,5,1,8,2,5,3,7,4,0,2,9,1,7,4,689.4
3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,4,683.7
3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,4,683.7
1,5,0,1,6,4,4,3,1,9,6,4,3,6,6,1,2,6,0,1,4,632.9
1,1,5,5,3,7,5,1,1,5,2,5,1,8,0,3,2,10,1,4,2,665.8
5,3,10,10,10,6,6,4,2,10,7,6,10,6,0,1,2,5,6,7,4,733.6
5,2,3,10,10,10,2,2,1,8,2,10,2,8,0,1,2,3,2,7,4,711
1,3,1,2,2,1,2,0,2,2,0,3,0,10,10,4,1,2,0,10,2,558.7
4,3,5,10,10,10,5,2,1,10,9,10,10,8,0,4,2,7,10,5,4,753.5
3,2,2,3,2,5,4,3,1,6,3,3,0,7,2,4,1,8,4,4,2,636.3
3,3,3,8,4,1,2,4,2,4,1,2,2,9,10,4,1,7,1,6,2,604.2
1,4,4,6,10,7,2,3,2,2,5,2,2,5,4,1,1,8,1,5,4,620.4
3,4,5,5,10,6,3,3,1,7,1,10,1,5,7,5,2,0,0,3,2,645.8
3,4,10,1,4,1,3,1,2,6,2,9,1,6,10,2,1,4,1,2,2,594.8
2,3,2,10,1,10,7,2,2,10,5,10,4,6,10,1,2,6,5,8,2,674.9
5,3,8,5,8,10,5,5,2,10,5,10,5,6,0,2,2,4,4,7,4,715.7
2,1,2,2,0,1,1,3,2,1,2,1,1,6,0,10,2,5,0,10,4,596.6
5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,1,680.5
5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,1,680.5
3,2,10,8,8,8,0,0,1,10,5,10,6,7,0,0,2,7,1,7,3,715.9
3,3,6,5,8,2,2,0,2,5,2,10,0,7,0,2,2,5,1,3,4,639.4
5,1,7,3,0,9,5,2,1,5,3,7,10,8,0,2,2,2,1,9,2,698.5
0,1,10,9,8,10,1,1,1,2,1,2,1,8,2,4,1,8,0,1,2,639.7
4,4,5,4,10,4,4,5,1,5,3,5,8,7,0,1,2,5,10,10,4,714.9
2,2,8,4,4,5,3,3,1,3,2,9,1,7,10,4,2,7,2,8,2,657.9
4,2,4,6,1,10,1,1,2,5,6,3,2,8,0,1,2,4,1,10,4,658.6
5,1,6,10,10,5,3,5,1,10,6,6,3,8,10,0,2,10,4,10,4,732.3
5,2,5,3,3,10,10,2,2,10,1,4,2,7,0,1,2,10,10,10,4,706.2
3,4,6,7,6,6,1,5,2,9,1,9,1,5,0,7,2,4,0,0,2,642.2
5,2,10,3,4,5,4,3,1,4,5,7,5,9,3,3,2,8,2,9,4,702.1
2,3,10,10,10,8,5,2,1,5,3,6,0,7,0,1,1,10,5,10,2,699.8
4,2,0,2,10,10,0,5,1,7,6,5,0,7,10,2,1,5,8,8,4,665.6
3,3,6,9,8,5,4,3,2,7,7,1,4,10,3,3,2,3,6,7,1,677.3
5,2,5,8,10,10,5,3,1,7,5,10,5,7,0,5,2,10,4,4,3,729.5
0,3,4,5,4,5,4,5,1,2,2,1,1,6,0,5,1,5,1,10,2,628.9
2,5,1,4,4,4,0,1,1,2,0,1,0,8,0,4,1,2,1,3,2,583.4
0,4,0,4,0,3,2,0,2,5,3,1,1,8,5,1,2,3,5,9,2,597
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,2,679.8
2,4,2,0,9,8,0,2,1,2,2,4,2,9,0,8,1,4,4,10,3,628.4
2,4,2,10,5,5,3,5,2,2,2,1,0,5,0,5,2,10,0,2,3,627
2,1,10,8,10,5,0,5,1,7,8,7,0,8,0,2,2,10,10,10,2,739.3
4,4,8,10,10,7,8,3,2,8,4,10,2,8,0,10,2,7,7,7,3,704.2
1,4,3,6,5,7,5,5,1,4,1,1,6,7,0,3,1,10,2,10,1,661.4
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,2,679.8
2,4,4,8,4,4,0,0,2,8,3,4,3,6,6,7,2,5,1,8,3,615.9
4,4,10,5,7,7,7,3,1,8,7,8,10,8,0,2,2,10,4,9,4,741.2
3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,3,677
3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,3,677
4,4,5,5,3,10,4,0,2,9,1,3,4,7,3,3,2,10,1,2,4,644.8
1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,2,727.6
1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,2,727.6
3,4,1,1,10,1,3,3,2,7,2,3,0,6,5,0,1,10,1,3,3,608.9
3,1,5,9,10,10,5,3,1,9,6,2,3,7,0,1,2,10,6,10,2,734.7
1,4,6,10,6,2,2,3,1,2,2,3,0,10,0,1,1,10,1,8,2,650.5
5,0,10,9,8,6,4,2,1,6,6,8,4,9,1,1,2,10,3,10,2,743.1
3,1,7,10,10,10,10,2,2,8,10,5,4,9,10,1,2,10,5,10,4,725.5
5,1,10,7,7,10,7,0,1,8,10,8,3,6,0,0,2,10,5,10,2,749.3
3,4,8,5,4,10,6,5,2,8,7,10,8,6,0,3,2,7,5,3,3,703.8
4,5,1,4,5,10,4,5,1,5,3,8,1,6,5,5,2,5,2,5,4,660.9
4,2,10,10,10,4,6,3,1,5,6,2,3,7,0,1,1,5,5,10,3,702.4
2,5,2,2,10,10,3,1,2,4,4,5,2,10,10,3,2,10,2,7,3,639
2,5,2,2,10,10,3,1,2,4,4,5,2,10,10,3,2,10,2,7,3,639
1,3,7,4,4,2,3,2,2,4,0,1,1,9,0,1,2,2,0,1,2,609.1
5,0,10,3,10,5,0,0,2,0,0,9,1,4,0,10,2,2,4,10,4,645.4
4,2,8,5,4,9,5,3,1,6,2,7,4,8,0,10,2,9,3,3,3,688.3
4,2,8,5,4,9,5,3,1,6,2,7,4,8,0,10,2,9,3,3,3,688.3
4,1,8,9,3,4,6,4,1,6,2,4,2,9,0,1,2,6,3,4,2,698.1
5,5,3,5,3,2,4,3,1,3,3,8,0,6,8,7,1,4,3,5,2,615
4,2,8,8,8,7,8,2,1,9,5,9,7,7,7,2,2,6,5,10,3,727.6
4,1,2,10,7,8,10,4,2,6,8,5,10,7,7,1,2,10,3,10,3,720
5,3,4,10,10,10,10,5,2,6,6,10,10,7,7,2,2,4,4,10,3,727.8
5,0,10,10,10,10,6,5,2,10,6,8,2,8,0,1,2,10,3,10,4,754.8
1,4,2,4,3,4,3,1,2,6,4,3,5,6,0,0,2,4,1,5,3,624.2
4,2,4,4,3,6,7,3,1,8,1,7,5,8,0,6,2,4,1,4,3,676.4
3,4,0,1,0,0,0,3,1,3,0,2,1,7,3,2,1,2,0,1,2,573.2
2,5,0,1,10,0,0,1,2,0,5,1,2,5,10,0,2,10,0,1,4,581.1
5,3,5,2,3,5,2,1,1,6,1,3,4,7,10,7,2,2,2,5,3,624.4
3,1,6,5,4,7,4,1,1,5,3,6,3,8,10,2,2,4,5,7,2,667.7
4,2,1,3,6,3,8,2,2,4,4,6,4,8,0,1,2,4,5,8,2,667.7
5,2,10,10,10,5,10,5,1,6,4,6,2,8,0,1,2,10,6,10,2,754.4
4,3,5,9,4,10,7,3,1,6,4,6,1,6,0,2,2,10,3,7,3,706.4
5,5,8,4,3,9,3,1,1,1,2,8,1,5,6,0,2,4,1,3,4,645.4
1,3,1,3,1,5,1,1,2,3,3,1,3,5,4,3,2,4,8,2,3,598.1
2,2,4,8,1,3,0,3,1,3,1,7,2,7,10,5,2,5,0,4,2,625.2
5,1,10,10,10,10,10,5,1,7,5,3,1,7,10,1,2,10,2,5,2,728.1
4,3,2,2,10,8,1,5,1,4,0,2,1,7,0,1,2,7,0,7,4,668.4
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,3,672.8
5,4,6,10,10,10,2,2,2,7,5,8,10,6,0,3,2,10,6,3,4,710.2
1,2,3,2,0,6,1,5,1,3,2,3,0,7,10,0,2,0,4,10,1,629.5
2,3,0,10,7,10,1,4,1,5,10,8,5,6,0,3,2,5,2,4,3,693.2
4,4,7,5,10,10,4,4,2,3,1,6,3,7,10,10,2,3,2,5,2,638.6
4,3,6,10,7,10,7,3,2,6,6,7,10,8,0,2,2,10,4,10,3,729.1
2,3,4,3,1,3,2,1,1,2,8,4,1,6,5,4,1,8,1,2,4,607.4
4,4,2,5,8,10,1,4,1,8,2,9,2,7,0,1,2,7,1,2,2,685.1
2,5,3,5,2,10,4,1,1,5,6,5,0,8,5,1,2,3,3,10,2,655.6
2,1,4,2,10,2,2,2,2,9,2,5,1,8,0,2,2,5,5,10,3,664.1
2,2,3,8,6,3,5,5,1,4,1,3,1,8,0,1,2,7,1,5,2,672.2
1,2,5,6,8,7,3,3,2,7,2,2,3,7,0,1,2,5,5,7,4,665
2,2,6,10,10,7,10,2,2,4,4,4,1,6,4,1,2,10,5,7,3,687.3
5,1,2,3,0,5,1,2,1,9,5,4,5,8,10,5,2,4,3,3,4,646.9
4,4,10,6,10,2,8,1,1,8,1,8,3,8,5,5,2,7,1,5,4,681.7
4,1,10,8,10,8,8,3,1,10,2,10,2,7,0,1,2,6,5,7,4,741.4
3,1,5,4,10,10,10,4,2,9,6,10,5,8,8,0,2,10,7,5,2,722.9
3,4,0,6,0,4,7,0,1,2,2,8,2,9,6,10,2,2,0,9,1,620.7
3,4,0,4,0,3,0,0,1,3,0,8,2,8,7,10,2,1,0,5,1,589.9
5,1,6,5,3,10,5,0,1,10,3,5,10,7,0,2,2,10,2,10,2,720
3,3,5,1,3,1,1,1,2,1,0,5,0,8,10,7,2,3,1,3,2,575.7
5,1,8,10,6,10,2,0,1,3,6,5,0,6,5,0,2,5,0,7,4,684.1
5,2,10,10,10,10,10,5,1,7,10,5,5,7,8,1,2,10,10,10,3,769.3
2,3,3,3,3,6,4,1,1,1,2,3,0,6,5,2,2,6,1,3,3,620.8
1,5,0,4,2,10,2,3,2,3,5,1,0,4,5,2,1,10,8,3,2,601.3
5,2,9,10,10,10,10,5,2,10,10,8,10,5,5,1,2,10,10,10,4,771.2
4,2,5,4,10,5,1,5,2,7,1,8,0,7,0,4,2,4,1,10,4,671.3
4,5,5,8,2,7,4,0,1,5,1,2,1,7,5,0,2,3,3,10,2,649.7
1,4,1,5,6,3,1,3,2,3,1,5,2,5,10,4,2,10,1,3,2,600.6
4,2,4,3,10,10,4,0,1,10,0,8,10,7,0,7,2,5,2,10,3,700.2
4,2,1,4,0,4,1,0,1,10,0,10,0,6,0,1,2,2,0,7,3,646
0,1,2,5,3,7,2,2,2,5,7,3,0,7,0,5,2,3,6,6,3,636.3
2,3,3,8,6,10,3,5,1,7,1,2,2,6,0,2,2,6,0,10,2,681.8
3,1,5,9,9,10,8,4,2,5,9,5,3,5,10,1,2,7,9,5,3,699.2
4,4,10,5,5,7,2,5,2,6,1,2,5,6,0,2,1,4,3,3,4,642.7
3,3,1,4,2,10,6,5,1,3,2,7,8,5,3,0,1,6,2,7,2,665.6
5,0,10,6,5,6,2,1,2,5,1,5,2,6,0,1,2,5,10,7,4,684.1
2,3,10,10,4,6,3,1,2,1,2,6,3,6,7,5,2,7,2,8,3,641.8
1,4,0,1,10,10,2,5,2,5,4,1,1,8,5,1,2,2,5,1,4,627.6
3,5,5,2,10,10,5,5,1,7,3,5,0,5,0,4,1,10,1,10,3,673.7
1,4,10,4,10,6,10,1,2,8,1,3,8,7,0,1,2,10,3,5,4,682.2
1,3,2,3,1,5,0,4,2,5,0,1,1,6,7,4,2,2,0,1,3,579.6
5,2,3,5,5,2,2,5,2,0,3,3,0,7,0,0,2,5,4,10,4,656.7
5,2,2,2,1,2,4,0,1,8,4,5,2,8,0,2,1,8,4,10,1,655.6
5,2,10,6,5,6,7,0,1,6,8,8,3,9,0,10,2,5,6,10,1,709.1
5,5,2,3,1,1,0,0,2,1,1,5,1,9,5,8,1,1,0,2,2,553.8
